,yoy,cluster,Year,Type,Latitude,Longitude
415,-0.49029126213592233,31,2017,D,51.376503,-0.4028415
414,3.761904761904762,31,2016,D,51.375735,-0.4046185
413,0.15999999999999992,31,2015,D,51.3766235,-0.4018585
412,-0.7275862068965517,31,2014,D,51.377660999999996,-0.404765
411,-0.7468354430379747,31,2013,D,51.37618,-0.40328800000000004
410,-3.5,31,2012,D,51.377221999999996,-0.403077
409,0.19979999999999998,31,2011,D,51.376868,-0.40255
442,-0.20512820512820518,32,2021,D,51.395407,-0.352186
440,0.0741935483870968,32,2020,D,51.394269,-0.351445
438,-0.4444444444444444,32,2019,D,51.392016999999996,-0.35279299999999997
436,0.44594594594594605,32,2018,D,51.393501,-0.34981999999999996
434,0.040186915887850505,32,2017,D,51.394183,-0.350013
432,-0.13746630727762799,32,2016,D,51.394457,-0.35081249999999997
430,0.1937500000000001,32,2015,D,51.394028000000006,-0.3491
428,-0.24956369982547988,32,2014,D,51.393842,-0.3488375
426,0.30232558139534893,32,2013,D,51.393042,-0.34947399999999995
424,-0.0535714285714286,32,2012,D,51.394644,-0.3509145
422,0.18869811320754715,32,2011,D,51.393535,-0.3507965
443,0.36357193479801553,32,2021,S,51.396003,-0.350013
441,-0.14553014553014554,32,2020,S,51.396801,-0.351995
439,0.08150851581508523,32,2019,S,51.391857,-0.35279299999999997
437,-0.12935883014623173,32,2018,S,51.391857,-0.351995
435,0.07235142118863047,32,2017,S,51.395019,-0.348665
433,-0.4457831325301205,32,2016,S,51.396343,-0.352186
431,0.36956521739130443,32,2015,S,51.396003,-0.349439
429,-0.10317460317460314,32,2014,S,51.396003,-0.349439
427,-0.03362831858407078,32,2013,S,51.396003,-0.34947399999999995
425,0.20879120879120872,32,2012,S,51.397166,-0.35038400000000003
423,-0.16666666666666663,32,2011,S,51.3962535,-0.35019049999999996
466,-0.27007299270072993,33,2021,D,51.380989,-0.3122795
464,0.5140845070422535,33,2020,D,51.3826885,-0.312871
462,0.06976744186046502,33,2019,D,51.3836405,-0.314531
460,-0.5608695652173913,33,2018,D,51.382918,-0.31242800000000004
458,0.6041663366336634,33,2017,D,51.38205,-0.31199699999999997
456,-0.061848849036666875,33,2016,D,51.38147,-0.31221
