,Price,Date,Year,Type,Lat,Lon,cluster
186,396000,2014-09-18,2014,T,51.40065451428571,-0.3631952285714286,19
187,392000,2014-07-01,2014,T,51.40065451428571,-0.3631952285714286,19
188,540000,2019-08-09,2019,T,51.40065451428571,-0.3631952285714286,19
189,452500,2019-07-19,2019,T,51.40065451428571,-0.3631952285714286,19
190,575000,2020-08-03,2020,T,51.40065451428571,-0.3631952285714286,19
191,187000,2010-06-21,2010,T,51.40065451428571,-0.3631952285714286,19
192,195000,2011-03-24,2011,T,51.40065451428571,-0.3631952285714286,19
193,285000,2011-03-04,2011,T,51.40065451428571,-0.3631952285714286,19
194,172000,2012-10-19,2012,T,51.40065451428571,-0.3631952285714286,19
195,203950,2012-11-14,2012,T,51.40065451428571,-0.3631952285714286,19
196,201000,2013-03-28,2013,T,51.40065451428571,-0.3631952285714286,19
197,317500,2013-03-28,2013,T,51.40065451428571,-0.3631952285714286,19
198,211000,2013-01-25,2013,T,51.40065451428571,-0.3631952285714286,19
199,250000,2014-08-22,2014,T,51.40065451428571,-0.3631952285714286,19
200,244000,2015-06-25,2015,T,51.40065451428571,-0.3631952285714286,19
201,269950,2015-06-26,2015,T,51.40065451428571,-0.3631952285714286,19
202,300000,2017-01-19,2017,T,51.40065451428571,-0.3631952285714286,19
203,645000,2017-11-24,2017,T,51.40065451428571,-0.3631952285714286,19
204,279950,2020-12-11,2020,T,51.40065451428571,-0.3631952285714286,19
205,615000,2021-12-08,2021,T,51.40065451428571,-0.3631952285714286,19
206,295000,2021-06-29,2021,T,51.40065451428571,-0.3631952285714286,19
207,475000,2020-08-21,2020,T,51.40065451428571,-0.3631952285714286,19
208,399950,2014-01-23,2014,T,51.40065451428571,-0.3631952285714286,19
209,199657,2015-01-09,2015,T,51.40065451428571,-0.3631952285714286,19
210,585000,2016-05-23,2016,T,51.40065451428571,-0.3631952285714286,19
211,700000,2021-06-17,2021,T,51.40065451428571,-0.3631952285714286,19
212,525000,2018-09-17,2018,T,51.40065451428571,-0.3631952285714286,19
213,265000,2010-02-16,2010,T,51.40065451428571,-0.3631952285714286,19
214,305000,2013-12-17,2013,T,51.40065451428571,-0.3631952285714286,19
215,360000,2016-09-29,2016,T,51.40065451428571,-0.3631952285714286,19
216,417500,2017-08-24,2017,T,51.40065451428571,-0.3631952285714286,19
217,537500,2018-08-03,2018,T,51.40065451428571,-0.3631952285714286,19
218,520000,2011-03-18,2011,T,51.40065451428571,-0.3631952285714286,19
219,699950,2014-02-27,2014,T,51.40065451428571,-0.3631952285714286,19
220,770000,2016-11-30,2016,T,51.40065451428571,-0.3631952285714286,19
221,835000,2021-02-26,2021,T,51.40065451428571,-0.3631952285714286,19
222,515000,2019-03-21,2019,T,51.40065451428571,-0.3631952285714286,19
223,310000,2010-10-28,2010,T,51.40065451428571,-0.3631952285714286,19
224,356000,2013-06-07,2013,T,51.40065451428571,-0.3631952285714286,19
225,268500,2011-12-20,2011,T,51.40065451428571,-0.3631952285714286,19
226,199000,2012-03-16,2012,T,51.40065451428571,-0.3631952285714286,19
227,211000,2012-03-07,2012,T,51.40065451428571,-0.3631952285714286,19
228,197000,2013-01-10,2013,T,51.40065451428571,-0.3631952285714286,19
229,315000,2017-03-10,2017,T,51.40065451428571,-0.3631952285714286,19
230,305000,2018-05-25,2018,T,51.40065451428571,-0.3631952285714286,19
231,272250,2018-06-29,2018,T,51.40065451428571,-0.3631952285714286,19
232,280000,2019-12-03,2019,T,51.40065451428571,-0.3631952285714286,19
233,285000,2019-09-16,2019,T,51.40065451428571,-0.3631952285714286,19
234,297000,2019-09-06,2019,T,51.40065451428571,-0.3631952285714286,19
235,280000,2019-08-14,2019,T,51.40065451428571,-0.3631952285714286,19
236,286000,2019-07-08,2019,T,51.40065451428571,-0.3631952285714286,19
237,300000,2020-12-21,2020,T,51.40065451428571,-0.3631952285714286,19
238,500000,2021-05-28,2021,T,51.40065451428571,-0.3631952285714286,19
239,305000,2021-04-01,2021,T,51.40065451428571,-0.3631952285714286,19
240,305000,2011-02-10,2011,T,51.40065451428571,-0.3631952285714286,19
241,275000,2012-12-18,2012,T,51.40065451428571,-0.3631952285714286,19
242,425000,2014-08-22,2014,T,51.40065451428571,-0.3631952285714286,19
243,554000,2016-07-13,2016,T,51.40065451428571,-0.3631952285714286,19
244,577000,2020-06-19,2020,T,51.40065451428571,-0.3631952285714286,19
245,585000,2021-10-06,2021,T,51.40065451428571,-0.3631952285714286,19
246,205000,2012-08-23,2012,T,51.40065451428571,-0.3631952285714286,19
247,420000,2014-05-23,2014,T,51.40065451428571,-0.3631952285714286,19
248,349000,2015-06-30,2015,T,51.40065451428571,-0.3631952285714286,19
249,595000,2015-10-28,2015,T,51.40065451428571,-0.3631952285714286,19
250,568000,2016-08-19,2016,T,51.40065451428571,-0.3631952285714286,19
251,570000,2018-02-16,2018,T,51.40065451428571,-0.3631952285714286,19
252,375000,2019-08-23,2019,T,51.40065451428571,-0.3631952285714286,19
253,300000,2021-10-06,2021,T,51.40065451428571,-0.3631952285714286,19
254,436000,2021-01-15,2021,T,51.40065451428571,-0.3631952285714286,19
255,242500,2011-02-18,2011,T,51.40065451428571,-0.3631952285714286,19
256,293000,2011-09-09,2011,T,51.40065451428571,-0.3631952285714286,19
257,385000,2011-01-14,2011,T,51.40065451428571,-0.3631952285714286,19
258,250000,2012-07-30,2012,T,51.40065451428571,-0.3631952285714286,19
259,410000,2013-05-08,2013,T,51.40065451428571,-0.3631952285714286,19
260,297500,2013-08-27,2013,T,51.40065451428571,-0.3631952285714286,19
261,377750,2013-11-21,2013,T,51.40065451428571,-0.3631952285714286,19
262,315000,2013-03-15,2013,T,51.40065451428571,-0.3631952285714286,19
263,440000,2014-05-09,2014,T,51.40065451428571,-0.3631952285714286,19
264,346250,2015-06-25,2015,T,51.40065451428571,-0.3631952285714286,19
265,406999,2016-02-05,2016,T,51.40065451428571,-0.3631952285714286,19
266,450000,2016-06-30,2016,T,51.40065451428571,-0.3631952285714286,19
267,468583,2017-04-18,2017,T,51.40065451428571,-0.3631952285714286,19
268,440000,2017-11-09,2017,T,51.40065451428571,-0.3631952285714286,19
269,578500,2018-08-17,2018,T,51.40065451428571,-0.3631952285714286,19
270,535000,2018-04-16,2018,T,51.40065451428571,-0.3631952285714286,19
271,435000,2019-10-25,2019,T,51.40065451428571,-0.3631952285714286,19
272,535000,2019-08-23,2019,T,51.40065451428571,-0.3631952285714286,19
273,530000,2020-10-16,2020,T,51.40065451428571,-0.3631952285714286,19
