,5y_ret,cluster,Year,Type,Lat,Lon
398,-0.02670510132774284,28,2018,T,51.39164291803279,-0.41475059016393445
401,0.024894726903649245,28,2019,T,51.39164291803279,-0.41475059016393445
404,0.010633138936535058,28,2020,T,51.39164291803279,-0.41475059016393445
407,0.05858300314750209,28,2021,T,51.39164291803279,-0.41475059016393445
413,0.3241392843328712,31,2015,D,51.376682274509804,-0.4021228823529412
414,0.11869047619047612,31,2016,D,51.376682274509804,-0.4021228823529412
415,0.06930976430976421,31,2017,D,51.376682274509804,-0.4021228823529412
416,0.08984211965516753,31,2018,D,51.376682274509804,-0.4021228823529412
417,-0.2177468201090249,31,2019,D,51.376682274509804,-0.4021228823529412
418,-0.05529457819534156,31,2020,D,51.376682274509804,-0.4021228823529412
419,0.21859531438973612,31,2021,D,51.376682274509804,-0.4021228823529412
430,-0.17668911803399268,32,2015,D,51.39639443835617,-0.3515982602739726
432,-0.09184749849306817,32,2016,D,51.39639443835617,-0.3515982602739726
434,-0.13064588979223135,32,2017,D,51.39639443835617,-0.3515982602739726
436,-0.11269415577159458,32,2018,D,51.39639443835617,-0.3515982602739726
438,0.01863616749479835,32,2019,D,51.39639443835617,-0.3515982602739726
440,0.03931937396051022,32,2020,D,51.39639443835617,-0.3515982602739726
442,0.0757419237997734,32,2021,D,51.39639443835617,-0.3515982602739726
431,-0.2642660970399757,32,2015,S,51.39639443835617,-0.3515982602739726
433,-0.11457627118644065,32,2016,S,51.39639443835617,-0.3515982602739726
435,-0.019570026660616024,32,2017,S,51.39639443835617,-0.3515982602739726
437,0.08781259892370996,32,2018,S,51.39639443835617,-0.3515982602739726
439,0.04979854955680896,32,2019,S,51.39639443835617,-0.3515982602739726
441,0.3418253968253968,32,2020,S,51.39639443835617,-0.3515982602739726
443,-0.1293542934415146,32,2021,S,51.39639443835617,-0.3515982602739726
454,0.1534010292993142,33,2015,D,51.382514,-0.31372905263157896
456,0.5893243892339546,33,2016,D,51.382514,-0.31372905263157896
458,-0.5420445956160242,33,2017,D,51.382514,-0.31372905263157896
460,0.20324748040313545,33,2018,D,51.382514,-0.31372905263157896
462,0.16556812314444302,33,2019,D,51.382514,-0.31372905263157896
464,-0.07740531769738523,33,2020,D,51.382514,-0.31372905263157896
466,0.023572685524061665,33,2021,D,51.382514,-0.31372905263157896
455,-0.029912754466140612,33,2015,S,51.382514,-0.31372905263157896
457,0.26699676252142446,33,2016,S,51.382514,-0.31372905263157896
459,-0.05476107429368682,33,2017,S,51.382514,-0.31372905263157896
461,0.5661538461538462,33,2018,S,51.382514,-0.31372905263157896
463,0.014418558144185578,33,2019,S,51.382514,-0.31372905263157896
465,0.14410714285714277,33,2020,S,51.382514,-0.31372905263157896
467,-0.11881349647756778,33,2021,S,51.382514,-0.31372905263157896
478,0.38576090595449286,35,2015,D,51.363800373626376,-0.4375648681318681
480,0.4983735747820255,35,2016,D,51.363800373626376,-0.4375648681318681
482,-0.24857748810262792,35,2017,D,51.363800373626376,-0.4375648681318681
484,0.036481390391867485,35,2018,D,51.363800373626376,-0.4375648681318681
486,-0.16056326292546774,35,2019,D,51.363800373626376,-0.4375648681318681
488,-0.23670483460559788,35,2020,D,51.363800373626376,-0.4375648681318681
490,-0.14152156535641058,35,2021,D,51.363800373626376,-0.4375648681318681
479,-0.11614035087719299,35,2015,F,51.363800373626376,-0.4375648681318681
481,0.6531381608537432,35,2016,F,51.363800373626376,-0.4375648681318681
483,-0.12108658743633272,35,2017,F,51.363800373626376,-0.4375648681318681
485,-0.04469500324464626,35,2018,F,51.363800373626376,-0.4375648681318681
487,-0.3022696348251832,35,2019,F,51.363800373626376,-0.4375648681318681
489,0.005913729128014911,35,2020,F,51.363800373626376,-0.4375648681318681
491,-0.28940432261465465,35,2021,F,51.363800373626376,-0.4375648681318681
497,-0.3966998765062897,37,2015,D,51.356714781818184,-0.4593908909090909
498,-0.1134348840400714,37,2016,D,51.356714781818184,-0.4593908909090909
499,0.3636243386243385,37,2017,D,51.356714781818184,-0.4593908909090909
500,0.12566053688437973,37,2018,D,51.356714781818184,-0.4593908909090909
501,-0.018271295633500495,37,2019,D,51.356714781818184,-0.4593908909090909
502,0.1049618320610688,37,2020,D,51.356714781818184,-0.4593908909090909
503,-0.03192874272010959,37,2021,D,51.356714781818184,-0.4593908909090909
509,-0.1853070175438596,38,2015,F,51.37335479680365,-0.4575132420091326
510,-0.22415057915057912,38,2016,F,51.37335479680365,-0.4575132420091326
511,-0.18375939849624046,38,2017,F,51.37335479680365,-0.4575132420091326
512,0.4697753327184082,38,2018,F,51.37335479680365,-0.4575132420091326
513,-0.3293460143151289,38,2019,F,51.37335479680365,-0.4575132420091326
514,-0.3284559106661531,38,2020,F,51.37335479680365,-0.4575132420091326
515,-0.15658089963579125,38,2021,F,51.37335479680365,-0.4575132420091326
526,-0.31801798800799463,39,2015,F,51.32912934707904,-0.4107047800687285
528,-0.13506062739251568,39,2016,F,51.32912934707904,-0.4107047800687285
530,-0.5221802369170789,39,2017,F,51.32912934707904,-0.4107047800687285
532,0.16399999999999992,39,2018,F,51.32912934707904,-0.4107047800687285
534,0.054038450855375286,39,2019,F,51.32912934707904,-0.4107047800687285
536,0.17491533716881125,39,2020,F,51.32912934707904,-0.4107047800687285
538,0.21345739899706695,39,2021,F,51.32912934707904,-0.4107047800687285
527,0.10650501676163748,39,2015,S,51.32912934707904,-0.4107047800687285
529,-0.006044802654972203,39,2016,S,51.32912934707904,-0.4107047800687285
