,3y_ret,3y_ret_ward,Price,Year,Type,Ward
675,-0.26111111111111107,0.10000000000000009,440000.0,2016,T,Hersham Village
691,-0.06445139146973311,0.15704697986577187,431000.0,2017,T,Hersham Village
707,0.02462374233494069,0.1656843483955468,445000.0,2018,T,Hersham Village
723,0.0773327149041434,0.09772727272727266,483000.0,2019,T,Hersham Village
739,0.09109048723897906,0.1310904872389791,487500.0,2020,T,Hersham Village
755,0.061319579446154515,0.12359550561797761,500000.0,2021,T,Hersham Village
52,0.17848640979991282,0.25396825396825395,790000.0,2013,D,Hinchley Wood and Weston Green
68,0.0033681765389084184,0.21289198606271786,870250.0,2014,D,Hinchley Wood and Weston Green
84,0.020370370370370372,0.2333333333333334,962000.0,2015,D,Hinchley Wood and Weston Green
100,0.04177770375305356,0.26107594936708867,996250.0,2016,D,Hinchley Wood and Weston Green
116,0.06588182868982795,0.2036771042803791,1047500.0,2017,D,Hinchley Wood and Weston Green
132,-0.12973925187665636,-0.022869022869022815,940000.0,2018,D,Hinchley Wood and Weston Green
148,0.0643239486202758,0.0715181932245923,1067500.0,2019,D,Hinchley Wood and Weston Green
164,0.00012387378087552747,0.038186157517899666,1087500.0,2020,D,Hinchley Wood and Weston Green
180,0.11779163609684518,0.20744680851063824,1135000.0,2021,D,Hinchley Wood and Weston Green
244,0.036811715529154077,0.08944329447652244,250000.0,2013,F,Hinchley Wood and Weston Green
260,0.4657239668098503,0.6386969397828233,249000.0,2014,F,Hinchley Wood and Weston Green
276,0.02685284640171859,0.3163265306122449,322500.0,2015,F,Hinchley Wood and Weston Green
292,0.0050000000000001155,0.3600000000000001,340000.0,2016,F,Hinchley Wood and Weston Green
308,-0.041656025021745924,0.2449799196787148,310000.0,2017,F,Hinchley Wood and Weston Green
324,-0.14570479354532506,-0.023255813953488413,315000.0,2018,F,Hinchley Wood and Weston Green
340,-0.04483937486433698,-0.04852941176470593,323500.0,2019,F,Hinchley Wood and Weston Green
356,0.1942416119789261,0.16129032258064524,360000.0,2020,F,Hinchley Wood and Weston Green
372,0.029956709956709848,0.01904761904761898,321000.0,2021,F,Hinchley Wood and Weston Green
436,0.12685454914978678,0.24754420432220048,635000.0,2013,S,Hinchley Wood and Weston Green
452,0.025503068412875862,0.26279120400609624,725000.0,2014,S,Hinchley Wood and Weston Green
468,0.10378488126135399,0.41526029109741946,792475.0,2015,S,Hinchley Wood and Weston Green
484,0.09736523319200496,0.43582677165354333,911750.0,2016,S,Hinchley Wood and Weston Green
500,0.0842701936702881,0.3034482758620689,945000.0,2017,S,Hinchley Wood and Weston Green
516,-0.07764834852834479,0.04735165147165521,830000.0,2018,S,Hinchley Wood and Weston Green
532,-0.08658289445899492,-0.08198519330956955,837000.0,2019,S,Hinchley Wood and Weston Green
548,-0.14931335830212245,-0.11111111111111116,840000.0,2020,S,Hinchley Wood and Weston Green
564,0.006559571619812576,0.0843373493975903,900000.0,2021,S,Hinchley Wood and Weston Green
628,-0.02922101833301971,0.05099502487562191,422500.0,2013,T,Hinchley Wood and Weston Green
644,-0.05025784425177715,0.17798780487804877,482975.0,2014,T,Hinchley Wood and Weston Green
