,3y_ret,cluster,Year,Type,Lat,Lon
210,-0.344298245614035,16,2013,F,51.37786289473684,-0.4342823684210526
212,-0.10810965265675243,16,2014,F,51.37786289473684,-0.4342823684210526
214,0.14185029046604947,16,2015,F,51.37786289473684,-0.4342823684210526
216,0.44892156862745103,16,2016,F,51.37786289473684,-0.4342823684210526
218,-0.04692217010296518,16,2017,F,51.37786289473684,-0.4342823684210526
220,-0.3532182103610674,16,2018,F,51.37786289473684,-0.4342823684210526
222,-0.1919621370126745,16,2019,F,51.37786289473684,-0.4342823684210526
224,-0.04352778708079563,16,2020,F,51.37786289473684,-0.4342823684210526
226,0.5109090909090909,16,2021,F,51.37786289473684,-0.4342823684210526
211,0.29273477646348955,16,2013,T,51.37786289473684,-0.4342823684210526
213,-0.14390829973223562,16,2014,T,51.37786289473684,-0.4342823684210526
215,-0.10823529411764721,16,2015,T,51.37786289473684,-0.4342823684210526
217,-0.17703150912106147,16,2016,T,51.37786289473684,-0.4342823684210526
219,0.0007238508867173366,16,2017,T,51.37786289473684,-0.4342823684210526
221,0.06282288908502487,16,2018,T,51.37786289473684,-0.4342823684210526
223,-0.13131892757102848,16,2019,T,51.37786289473684,-0.4342823684210526
225,-0.07636363636363641,16,2020,T,51.37786289473684,-0.4342823684210526
227,-0.16953399068795216,16,2021,T,51.37786289473684,-0.4342823684210526
231,0.3319838056680162,17,2013,F,51.369888583333335,-0.3653403611111112
232,0.094632660829844,17,2014,F,51.369888583333335,-0.3653403611111112
233,-0.16557987890079184,17,2015,F,51.369888583333335,-0.3653403611111112
234,-0.355,17,2016,F,51.369888583333335,-0.3653403611111112
235,-0.42552483358934956,17,2017,F,51.369888583333335,-0.3653403611111112
236,0.05865338261288766,17,2018,F,51.369888583333335,-0.3653403611111112
237,-0.1074210742107422,17,2019,F,51.369888583333335,-0.3653403611111112
238,0.7184351603660228,17,2020,F,51.369888583333335,-0.3653403611111112
239,0.4042424242424242,17,2021,F,51.369888583333335,-0.3653403611111112
246,0.1126951979960562,19,2013,S,51.40065451428571,-0.3631952285714286
248,0.2748330765279918,19,2014,S,51.40065451428571,-0.3631952285714286
250,-0.1721480247983167,19,2015,S,51.40065451428571,-0.3631952285714286
252,0.05878156930788525,19,2016,S,51.40065451428571,-0.3631952285714286
